date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:51	1225963/1225963	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:35:18%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up_1024x1024.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up_1024x10248440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:51	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Jul%202018%2014:37:51%20GMT	https://m.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fgetup.com.pe%2Fproducts%2Ffullpackslim&p%5Bimages%5D%5B0%5D=products%2FPLAN-SLIM-FULL-PACK---slim-dietas----web-get-up.png	C:/Users/user/Desktop/comida%20final/m.facebook.com/sharer/sharer.1e43894.delayed	(from https://getup.com.pe/products/fullpackslim)
09:37:54	66387/66387	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jul%202018%2014:37:52%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/image_grande.jpg?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/image_grandeb2b5.jpg	(from https://getup.com.pe/products/almuerzosycenasslim)
09:38:01	15845/15845	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jul%202018%2014:37:59%20GMT	https://cdn.shopify.com/s/files/1/1534/3917/products/image_medium.jpg?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/image_mediumb2b5.jpg	(from https://getup.com.pe/products/almuerzosycenasslim)
09:38:21	6092/6092	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:620fe0f518b3d6b2f8a6f2296d938f67	https://getup.com.pe/products/almuerzosycenasslim.oembed	C:/Users/user/Desktop/comida%20final/getup.com.pe/products/almuerzosycenasslim.oembed	(from https://getup.com.pe/products/almuerzosycenasslim)
09:38:48	178569/178569	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jul%202018%2014:38:21%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/image_1024x1024.jpg?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/image_1024x1024b2b5.jpg	(from https://getup.com.pe/products/almuerzosycenasslim)
09:38:48	448310/448310	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:37:58%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo_Cena_2_grande.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo_Cena_2_grandeb2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:39:08	71842/71842	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:38:54%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/zooom-3-slim_compact.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/zooom-3-slim_compactb2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:39:16	38352/38352	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:39:09%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo_Cena_2_compact.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo_Cena_2_compactb2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:39:47	901266/901266	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:37:57%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/zooom-3-slim_grande.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/zooom-3-slim_grandeb2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:40:26	72426/72426	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:40:00%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/zooom-2-slim_fc942362-cab1-4004-8ebd-b58870c004fd_compact.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/zooom-2-slim_fc942362-cab1-4004-8ebd-b58870c004fd_compactb2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:40:36	704021/704021	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:38:56%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo_Cena_2_1024x1024.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Almuerzo_Cena_2_1024x1024b2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:40:41	7456/7456	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:40:39%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/slim_ORIGINAL_cdcda5b5-7eef-4184-845d-ec1ca033fd1e_compact.png?v=1529111319	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/slim_ORIGINAL_cdcda5b5-7eef-4184-845d-ec1ca033fd1e_compactb2b5.png	(from https://getup.com.pe/products/almuerzosycenasslim)
09:40:52	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Jul%202018%2014:40:41%20GMT	https://www.facebook.com/sharer/sharer.php?u=https://getup.com.pe/products/almuerzosycenasslim&p[images][0]=products/image.jpg	C:/Users/user/Desktop/comida%20final/www.facebook.com/sharer/sharer.1f30948.delayed	(from https://getup.com.pe/products/almuerzosycenasslim)
09:41:13	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Jul%202018%2014:40:54%20GMT	https://m.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fgetup.com.pe%2Fproducts%2Falmuerzosycenasslim&p%5Bimages%5D%5B0%5D=products%2Fimage.jpg	C:/Users/user/Desktop/comida%20final/m.facebook.com/sharer/sharer.1f41a93.delayed	(from https://getup.com.pe/products/almuerzosycenasslim)
